Model,Year,Mileage,Fuel,Gearbox,Horsepower ,Price,Link to advertisement
Volvo V60,2019,13494,2,0,150,224000,https://www.blocket.se/annons/1001243611
Volvo V60,2019,6335,1,0,251,339700,https://www.blocket.se/annons/1001128468
Volvo V60,2019,9584,2,0,191,248900,https://www.blocket.se/annons/1001190053
Volvo V60,2019,15628,2,0,191,259500,https://www.blocket.se/annons/1400654185
Volvo V60,2019,6172,1,0,251,338900,https://www.blocket.se/annons/1001150351
Volvo V60,2019,9700,2,0,200,319800,https://www.blocket.se/annons/1001150758
Volvo V60,2019,7435,2,0,191,288900,https://www.blocket.se/annons/1001056871
Volvo V60,2019,6760,2,0,150,259000,https://www.blocket.se/annons/1001241392
Volvo V60,2019,17941,2,0,191,228700,https://www.blocket.se/annons/1001103033
Volvo V60,2019,13727,2,0,150,223800,https://www.blocket.se/annons/1001178499
Volvo V60,2019,12531,2,0,191,299700,https://www.blocket.se/annons/1001240287
Volvo V60,2019,19575,2,0,191,299000,https://www.blocket.se/annons/1001185669
Volvo V60,2019,14000,2,0,191,229900,https://www.blocket.se/annons/1001182858
Volvo V60,2019,8100,1,0,251,299000,https://www.blocket.se/annons/1001114844
Volvo V60,2019,15800,1,0,310,299900,https://www.blocket.se/annons/1000581704
Volvo V60,2019,20214,2,0,150,189900,https://www.blocket.se/annons/1001197246
Volvo V60,2019,9324,2,0,191,298900,https://www.blocket.se/annons/1001183463
Volvo V60,2019,14202,2,0,150,218900,https://www.blocket.se/annons/1001220013
Volvo V60,2019,10261,2,0,191,299800,https://www.blocket.se/annons/1000728245
Volvo V60,2019,12854,0,0,392,319800,https://www.blocket.se/annons/1000459105
Volvo V60,2019,6600,1,0,251,289000,https://www.blocket.se/annons/1001236291
Volvo V60,2019,17386,1,0,251,229900,https://www.blocket.se/annons/1001235952
Volvo V60,2019,9892,2,0,200,299990,https://www.blocket.se/annons/1001235876
Volvo V60,2019,11400,2,0,191,224500,https://www.blocket.se/annons/1001235258
Volvo V60,2019,11950,2,0,150,224500,https://www.blocket.se/annons/1001234502
Volvo V60,2020,13300,2,0,191,267500,https://www.blocket.se/annons/1001250362
Volvo V60,2020,7867,2,0,150,279900,https://www.blocket.se/annons/goteborg/volvo_v60_d3_150hk_inscription_b_kamera_varmare_skinn_drag_m/1001170032
Volvo V60,2020,7960,0,0,392,378900,https://www.blocket.se/annons/1000252730
Volvo V60,2020,7150,2,0,191,259800,https://www.blocket.se/annons/1001261510
Volvo V60,2020,7972,2,0,151,269900,https://www.blocket.se/annons/1001261363
Volvo V60,2020,5622,2,0,192,305000,https://www.blocket.se/annons/1001079134
Volvo V60,2020,7050,2,0,150,335000,https://www.blocket.se/annons/1400625909
Volvo V60,2020,7659,2,0,191,337900,https://www.blocket.se/annons/1000925890
Volvo V60,2020,7635,2,0,192,335900,https://www.blocket.se/annons/1001161774
Volvo V60,2020,13016,2,0,150,224900,https://www.blocket.se/annons/1001016602
Volvo V60,2020,7200,2,1,150,225000,https://www.blocket.se/annons/1400654170
Volvo V60,2020,13390,2,0,191,244500,https://www.blocket.se/annons/1000394022
Volvo V60,2020,7257,2,0,150,285000,https://www.blocket.se/annons/1400671413
Volvo V60,2020,6750,1,0,251,335000,https://www.blocket.se/annons/1001220105
Volvo V60,2020,4990,2,0,191,299900,https://www.blocket.se/annons/1000867691
Volvo V60,2020,5675,2,0,150,308900,https://www.blocket.se/annons/1000978992
Volvo V60,2020,7161,0,0,392,388900,https://www.blocket.se/annons/1001204989
Volvo V60,2020,6334,2,0,150,257000,https://www.blocket.se/annons/1400670524
Volvo V60,2020,5873,2,0,191,294700,https://www.blocket.se/annons/1000531134
Volvo V60,2020,15306,1,0,191,259800,https://www.blocket.se/annons/1000882099
Volvo V60,2020,7540,2,0,191,399800,https://www.blocket.se/annons/1001128490
Volvo V60,2020,21246,2,0,191,209900,https://www.blocket.se/annons/1001258947
Volvo V60,2020,13173,0,0,391,279900,https://www.blocket.se/annons/1001258904
Volvo V60,2020,11650,2,0,191,275000,https://www.blocket.se/annons/1400667923
Volvo V60,2020,20480,2,0,150,189900,https://www.blocket.se/annons/1001258460
Volvo V60,2020,9355,0,0,344,289900,https://www.blocket.se/annons/1001201938
Volvo V60,2020,8898,2,0,191,269900,https://www.blocket.se/annons/1001211675
Volvo V60,2020,7493,2,0,192,319900,https://www.blocket.se/annons/1001048535
Volvo V60,2020,12477,2,0,191,249800,https://www.blocket.se/annons/1001167975
Volvo V60,2020,6151,2,0,191,348900,https://www.blocket.se/annons/1001064143
Volvo V60,2020,13881,2,0,191,268700,https://www.blocket.se/annons/1001214089
Volvo V60,2020,7581,2,0,151,284900,https://www.blocket.se/annons/1000828536
Volvo V60,2020,7573,2,0,192,279900,https://www.blocket.se/annons/1000805103
Volvo V60,2020,2522,0,0,340,358900,https://www.blocket.se/annons/1001231544
Volvo V60,2020,9211,2,0,151,259900,https://www.blocket.se/annons/1001257312
Volvo V60,2020,12698,1,0,191,299900,https://www.blocket.se/annons/1001131343
Volvo V60,2020,9520,2,0,191,246000,https://www.blocket.se/annons/1001066873
Volvo V60,2020,11600,0,0,392,309800,https://www.blocket.se/annons/1000949113
Volvo V60,2020,8381,2,0,150,254900,https://www.blocket.se/annons/1001256725
Volvo V60,2020,13898,2,0,191,329900,https://www.blocket.se/annons/1000885826
Volvo V60,2020,6500,2,0,150,254900,https://www.blocket.se/annons/1001256672
Volvo V60,2020,4524,1,0,253,349000,https://www.blocket.se/annons/1001256006
Volvo V60,2020,5429,0,0,253,369900,https://www.blocket.se/annons/1001069872
Volvo V60,2020,14605,2,0,192,229900,https://www.blocket.se/annons/1001255694
